Data,NomeDia,TCC Faturamento Realizado,TCC Faturamento Projetado Power BI
2024-05-13 00:00:00,SEGUNDA-FEIRA,R$ 19155,R$ 231749
2024-05-14 00:00:00,TERÇA-FEIRA,R$ 10990,R$ 239531
2024-05-15 00:00:00,QUARTA-FEIRA,R$ 7022,R$ 238075
2024-05-16 00:00:00,QUINTA-FEIRA,R$ 2528,R$ 228094
2024-05-17 00:00:00,SEXTA-FEIRA,R$ 2394,R$ 219043
2024-05-18 00:00:00,SÁBADO,,R$ 206874
2024-05-19 00:00:00,DOMINGO,,R$ 195986
2024-05-20 00:00:00,SEGUNDA-FEIRA,R$ 32127,R$ 235984
2024-05-21 00:00:00,TERÇA-FEIRA,R$ 10194,R$ 239795
2024-05-22 00:00:00,QUARTA-FEIRA,R$ 8513,R$ 240891
2024-05-23 00:00:00,QUINTA-FEIRA,R$ 2038,R$ 233165
2024-05-24 00:00:00,SEXTA-FEIRA,R$ 57,R$ 223523
2024-05-25 00:00:00,SÁBADO,,R$ 214582
2024-05-26 00:00:00,DOMINGO,,R$ 206329
2024-05-27 00:00:00,SEGUNDA-FEIRA,R$ 18763,R$ 220230
2024-05-28 00:00:00,TERÇA-FEIRA,R$ 29808,R$ 245367
2024-05-29 00:00:00,QUARTA-FEIRA,R$ 1676,R$ 238698
2024-05-30 00:00:00,QUINTA-FEIRA,,R$ 230741
2024-05-31 00:00:00,SEXTA-FEIRA,R$ 33865,R$ 257163
2024-06-03 00:00:00,SEGUNDA-FEIRA,R$ 8845,R$ 88452
2024-06-04 00:00:00,TERÇA-FEIRA,R$ 39658,R$ 363775
2024-06-05 00:00:00,QUARTA-FEIRA,R$ 15202,R$ 382229
2024-06-06 00:00:00,QUINTA-FEIRA,R$ 6559,R$ 351319
2024-06-07 00:00:00,SEXTA-FEIRA,R$ 7225,R$ 332094
2024-06-08 00:00:00,SÁBADO,,R$ 290582
2024-06-09 00:00:00,DOMINGO,,R$ 258295
2024-06-10 00:00:00,SEGUNDA-FEIRA,R$ 16785,R$ 282821
2024-06-11 00:00:00,TERÇA-FEIRA,R$ 17011,R$ 303503
2024-06-12 00:00:00,QUARTA-FEIRA,R$ 23045,R$ 335825
2024-06-13 00:00:00,QUINTA-FEIRA,R$ 18890,R$ 353584
2024-06-14 00:00:00,SEXTA-FEIRA,R$ 12557,R$ 355235
2024-06-15 00:00:00,SÁBADO,,R$ 331553
2024-06-16 00:00:00,DOMINGO,,R$ 310831
2024-06-17 00:00:00,SEGUNDA-FEIRA,R$ 6943,R$ 304799
2024-06-18 00:00:00,TERÇA-FEIRA,R$ 13766,R$ 310809
2024-06-19 00:00:00,QUARTA-FEIRA,R$ 48809,R$ 371518
2024-06-20 00:00:00,QUINTA-FEIRA,R$ 21829,R$ 385685
2024-06-21 00:00:00,SEXTA-FEIRA,R$ 5540,R$ 375234
2024-06-22 00:00:00,SÁBADO,,R$ 358178
2024-06-23 00:00:00,DOMINGO,,R$ 342605
2024-06-24 00:00:00,SEGUNDA-FEIRA,R$ 11453,R$ 342647
2024-06-25 00:00:00,TERÇA-FEIRA,R$ 22669,R$ 356143
2024-06-26 00:00:00,QUARTA-FEIRA,R$ 39247,R$ 387730
2024-06-27 00:00:00,QUINTA-FEIRA,R$ 6087,R$ 380133
2024-06-28 00:00:00,SEXTA-FEIRA,R$ 48199,R$ 418198
2024-06-29 00:00:00,SÁBADO,,R$ 403778
2024-06-30 00:00:00,DOMINGO,,R$ 390318
2024-07-01 00:00:00,SEGUNDA-FEIRA,R$ 2053,R$ 63641
2024-07-02 00:00:00,TERÇA-FEIRA,R$ 4411,R$ 100197
2024-07-03 00:00:00,QUARTA-FEIRA,R$ 15202,R$ 223882
2024-07-04 00:00:00,QUINTA-FEIRA,R$ 6134,R$ 215454
2024-07-05 00:00:00,SEXTA-FEIRA,R$ 4526,R$ 200424
2024-07-06 00:00:00,SÁBADO,,R$ 167020
2024-07-07 00:00:00,DOMINGO,,R$ 143160
2024-07-08 00:00:00,SEGUNDA-FEIRA,R$ 10277,R$ 165087
2024-07-09 00:00:00,TERÇA-FEIRA,R$ 3493,R$ 158774
2024-07-10 00:00:00,QUARTA-FEIRA,R$ 14668,R$ 188368
2024-07-11 00:00:00,QUINTA-FEIRA,R$ 6571,R$ 189762
2024-07-12 00:00:00,SEXTA-FEIRA,R$ 2047,R$ 179236
2024-07-13 00:00:00,SÁBADO,,R$ 165449
2024-07-14 00:00:00,DOMINGO,,R$ 153631
2024-07-15 00:00:00,SEGUNDA-FEIRA,R$ 6950,R$ 157753
2024-07-16 00:00:00,TERÇA-FEIRA,R$ 4230,R$ 156088
2024-07-17 00:00:00,QUARTA-FEIRA,R$ 34921,R$ 210586
2024-07-18 00:00:00,QUINTA-FEIRA,R$ 11495,R$ 218683
2024-07-19 00:00:00,SEXTA-FEIRA,R$ 2438,R$ 211151
2024-07-20 00:00:00,SÁBADO,,R$ 200593
2024-07-21 00:00:00,DOMINGO,,R$ 191041
2024-07-22 00:00:00,SEGUNDA-FEIRA,R$ 14697,R$ 203067
2024-07-23 00:00:00,TERÇA-FEIRA,R$ 12292,R$ 210805
2024-07-24 00:00:00,QUARTA-FEIRA,R$ 23764,R$ 232717
2024-07-25 00:00:00,QUINTA-FEIRA,R$ 18124,R$ 245881
2024-07-26 00:00:00,SEXTA-FEIRA,R$ 3716,R$ 240855
2024-07-27 00:00:00,SÁBADO,,R$ 231935
2024-07-28 00:00:00,DOMINGO,,R$ 223651
2024-07-29 00:00:00,SEGUNDA-FEIRA,R$ 15257,R$ 232249
2024-07-30 00:00:00,TERÇA-FEIRA,R$ 22695,R$ 247959
2024-07-31 00:00:00,QUARTA-FEIRA,R$ 41569,R$ 281529
2024-08-01 00:00:00,QUINTA-FEIRA,R$ 17575,R$ 544831
2024-08-02 00:00:00,SEXTA-FEIRA,R$ 4126,R$ 336361
2024-08-03 00:00:00,SÁBADO,,R$ 224241
2024-08-04 00:00:00,DOMINGO,,R$ 168180
2024-08-05 00:00:00,SEGUNDA-FEIRA,R$ 18936,R$ 251948
2024-08-06 00:00:00,TERÇA-FEIRA,R$ 27711,R$ 353128
2024-08-07 00:00:00,QUARTA-FEIRA,R$ 17696,R$ 381051
2024-08-08 00:00:00,QUINTA-FEIRA,R$ 20947,R$ 414589
2024-08-09 00:00:00,SEXTA-FEIRA,R$ 4135,R$ 382768
2024-08-10 00:00:00,SÁBADO,,R$ 344491
2024-08-11 00:00:00,DOMINGO,,R$ 313174
2024-08-12 00:00:00,SEGUNDA-FEIRA,R$ 10306,R$ 313700
2024-08-13 00:00:00,TERÇA-FEIRA,R$ 16387,R$ 328645
2024-08-14 00:00:00,QUARTA-FEIRA,R$ 30861,R$ 373505
2024-08-15 00:00:00,QUINTA-FEIRA,R$ 18981,R$ 387833
2024-08-16 00:00:00,SEXTA-FEIRA,R$ 8360,R$ 379791
2024-08-17 00:00:00,SÁBADO,,R$ 357450
2024-08-18 00:00:00,DOMINGO,,R$ 337592
2024-08-19 00:00:00,SEGUNDA-FEIRA,R$ 7531,R$ 332112
2024-08-20 00:00:00,TERÇA-FEIRA,R$ 11358,R$ 333111
2024-08-21 00:00:00,QUARTA-FEIRA,R$ 25717,R$ 355211
2024-08-22 00:00:00,QUINTA-FEIRA,R$ 11089,R$ 354690
2024-08-23 00:00:00,SEXTA-FEIRA,R$ 7068,R$ 348795
2024-08-24 00:00:00,SÁBADO,,R$ 334261
2024-08-25 00:00:00,DOMINGO,,R$ 320891
2024-08-26 00:00:00,SEGUNDA-FEIRA,R$ 12179,R$ 323070
2024-08-27 00:00:00,TERÇA-FEIRA,R$ 11336,R$ 324120
2024-08-28 00:00:00,QUARTA-FEIRA,R$ 25424,R$ 340691
2024-08-29 00:00:00,QUINTA-FEIRA,R$ 16203,R$ 346264
2024-08-30 00:00:00,SEXTA-FEIRA,R$ 12159,R$ 347286
2024-08-31 00:00:00,SÁBADO,,R$ 336083
2024-09-02 00:00:00,SEGUNDA-FEIRA,R$ 33942,R$ 509134
2024-09-03 00:00:00,TERÇA-FEIRA,R$ 17839,R$ 517815
2024-09-04 00:00:00,QUARTA-FEIRA,R$ 34953,R$ 650507
2024-09-05 00:00:00,QUINTA-FEIRA,R$ 23553,R$ 661725
2024-09-06 00:00:00,SEXTA-FEIRA,R$ 8733,R$ 595101
2024-09-07 00:00:00,SÁBADO,,R$ 510086
2024-09-08 00:00:00,DOMINGO,,R$ 446326
2024-09-09 00:00:00,SEGUNDA-FEIRA,R$ 11518,R$ 435126
2024-09-10 00:00:00,TERÇA-FEIRA,R$ 15485,R$ 438068
2024-09-11 00:00:00,QUARTA-FEIRA,R$ 21201,R$ 456066
2024-09-12 00:00:00,QUINTA-FEIRA,R$ 29328,R$ 491379
2024-09-13 00:00:00,SEXTA-FEIRA,R$ 5732,R$ 466807
2024-09-14 00:00:00,SÁBADO,,R$ 433464
2024-09-15 00:00:00,DOMINGO,,R$ 404566
2024-09-16 00:00:00,SEGUNDA-FEIRA,R$ 21672,R$ 419916
2024-09-17 00:00:00,TERÇA-FEIRA,R$ 20380,R$ 431180
2024-09-18 00:00:00,QUARTA-FEIRA,R$ 24833,R$ 448614
2024-09-19 00:00:00,QUINTA-FEIRA,R$ 1104,R$ 426746
2024-09-20 00:00:00,SEXTA-FEIRA,,R$ 405408
2024-09-21 00:00:00,SÁBADO,,R$ 386103
2024-09-22 00:00:00,DOMINGO,,R$ 368553
2024-09-23 00:00:00,SEGUNDA-FEIRA,R$ 35590,R$ 398951
2024-09-24 00:00:00,TERÇA-FEIRA,R$ 20622,R$ 408105
2024-09-25 00:00:00,QUARTA-FEIRA,R$ 31954,R$ 430126
2024-09-26 00:00:00,QUINTA-FEIRA,R$ 14691,R$ 430534
2024-09-27 00:00:00,SEXTA-FEIRA,R$ 7123,R$ 422503
2024-09-28 00:00:00,SÁBADO,,R$ 407414
2024-09-29 00:00:00,DOMINGO,,R$ 393365
2024-09-30 00:00:00,SEGUNDA-FEIRA,R$ 29290,R$ 409543
2024-10-01 00:00:00,TERÇA-FEIRA,R$ 31630,R$ 980528
2024-10-02 00:00:00,QUARTA-FEIRA,R$ 29485,R$ 947288
2024-10-03 00:00:00,QUINTA-FEIRA,R$ 17517,R$ 812531
2024-10-04 00:00:00,SEXTA-FEIRA,R$ 5778,R$ 654178
2024-10-05 00:00:00,SÁBADO,,R$ 523342
2024-10-06 00:00:00,DOMINGO,,R$ 436119
2024-10-07 00:00:00,SEGUNDA-FEIRA,R$ 48082,R$ 586750
2024-10-08 00:00:00,TERÇA-FEIRA,R$ 23678,R$ 605157
2024-10-09 00:00:00,QUARTA-FEIRA,R$ 18905,R$ 603036
2024-10-10 00:00:00,QUINTA-FEIRA,R$ 12078,R$ 580175
2024-10-11 00:00:00,SEXTA-FEIRA,R$ 5180,R$ 542028
2024-10-12 00:00:00,SÁBADO,,R$ 496859
2024-10-13 00:00:00,DOMINGO,,R$ 458639
2024-10-14 00:00:00,SEGUNDA-FEIRA,R$ 36994,R$ 507795
2024-10-15 00:00:00,TERÇA-FEIRA,R$ 20404,R$ 516111
2024-10-16 00:00:00,QUARTA-FEIRA,R$ 30590,R$ 543122
2024-10-17 00:00:00,QUINTA-FEIRA,R$ 15436,R$ 539322
2024-10-18 00:00:00,SEXTA-FEIRA,R$ 5163,R$ 518251
2024-10-19 00:00:00,SÁBADO,,R$ 490974
2024-10-20 00:00:00,DOMINGO,,R$ 466426
2024-10-21 00:00:00,SEGUNDA-FEIRA,R$ 35801,R$ 497063
2024-10-22 00:00:00,TERÇA-FEIRA,R$ 26207,R$ 511397
2024-10-23 00:00:00,QUARTA-FEIRA,R$ 27941,R$ 526823
2024-10-24 00:00:00,QUINTA-FEIRA,R$ 29876,R$ 543461
2024-10-25 00:00:00,SEXTA-FEIRA,R$ 4230,R$ 526968
2024-10-26 00:00:00,SÁBADO,,R$ 506700
2024-10-27 00:00:00,DOMINGO,,R$ 487933
2024-10-28 00:00:00,SEGUNDA-FEIRA,R$ 5410,R$ 476497
2024-10-29 00:00:00,TERÇA-FEIRA,R$ 52899,R$ 516613
2024-10-30 00:00:00,QUARTA-FEIRA,R$ 21033,R$ 521127
2024-10-31 00:00:00,QUINTA-FEIRA,R$ 39689,R$ 544006
2024-11-01 00:00:00,SEXTA-FEIRA,R$ 3281,R$ 98415
2024-11-02 00:00:00,SÁBADO,,R$ 49208
2024-11-03 00:00:00,DOMINGO,,R$ 32805
2024-11-04 00:00:00,SEGUNDA-FEIRA,R$ 24363,R$ 207324
2024-11-05 00:00:00,TERÇA-FEIRA,R$ 26450,R$ 324560
2024-11-06 00:00:00,QUARTA-FEIRA,R$ 37184,R$ 456388
2024-11-07 00:00:00,QUINTA-FEIRA,R$ 24369,R$ 495628
2024-11-08 00:00:00,SEXTA-FEIRA,R$ 10934,R$ 474678
2024-11-09 00:00:00,SÁBADO,R$ 33,R$ 422046
2024-11-10 00:00:00,DOMINGO,,R$ 379842
2024-11-11 00:00:00,SEGUNDA-FEIRA,R$ 25756,R$ 415555
2024-11-12 00:00:00,TERÇA-FEIRA,R$ 36874,R$ 473110
2024-11-13 00:00:00,QUARTA-FEIRA,R$ 19339,R$ 481345
2024-11-14 00:00:00,QUINTA-FEIRA,R$ 4560,R$ 456733
2024-11-15 00:00:00,SEXTA-FEIRA,,R$ 426285
2024-11-16 00:00:00,SÁBADO,,R$ 399642
2024-11-17 00:00:00,DOMINGO,,R$ 376133
2024-11-18 00:00:00,SEGUNDA-FEIRA,R$ 42494,R$ 426061
2024-11-19 00:00:00,TERÇA-FEIRA,R$ 118108,R$ 590122
2024-11-20 00:00:00,QUARTA-FEIRA,,R$ 560616
2024-11-21 00:00:00,QUINTA-FEIRA,R$ 27955,R$ 573856
2024-11-22 00:00:00,SEXTA-FEIRA,R$ 10782,R$ 562474
2024-11-23 00:00:00,SÁBADO,,R$ 538018
2024-11-24 00:00:00,DOMINGO,,R$ 515601
2024-11-25 00:00:00,SEGUNDA-FEIRA,R$ 50128,R$ 555130
2024-11-26 00:00:00,TERÇA-FEIRA,R$ 19791,R$ 556615
2024-11-27 00:00:00,QUARTA-FEIRA,R$ 32907,R$ 572563
2024-11-28 00:00:00,QUINTA-FEIRA,R$ 17175,R$ 570516
2024-11-29 00:00:00,SEXTA-FEIRA,R$ 42013,R$ 594305
2024-11-30 00:00:00,SÁBADO,R$ 8,R$ 574502
2024-12-02 00:00:00,SEGUNDA-FEIRA,R$ 11498,R$ 178219
2024-12-03 00:00:00,TERÇA-FEIRA,R$ 81584,R$ 961852
2024-12-04 00:00:00,QUARTA-FEIRA,R$ 38087,R$ 1016565
2024-12-05 00:00:00,QUINTA-FEIRA,R$ 16879,R$ 917901
2024-12-06 00:00:00,SEXTA-FEIRA,R$ 13635,R$ 835365
2024-12-07 00:00:00,SÁBADO,,R$ 716027
2024-12-08 00:00:00,DOMINGO,,R$ 626524
2024-12-09 00:00:00,SEGUNDA-FEIRA,R$ 33784,R$ 673277
2024-12-10 00:00:00,TERÇA-FEIRA,R$ 73927,R$ 835122
2024-12-11 00:00:00,QUARTA-FEIRA,R$ 29441,R$ 842173
2024-12-12 00:00:00,QUINTA-FEIRA,R$ 20216,R$ 824218
2024-12-13 00:00:00,SEXTA-FEIRA,R$ 19370,R$ 807008
2024-12-14 00:00:00,SÁBADO,R$ 6688,R$ 764174
2024-12-15 00:00:00,DOMINGO,,R$ 713229
2024-12-16 00:00:00,SEGUNDA-FEIRA,R$ 60601,R$ 786067
2024-12-17 00:00:00,TERÇA-FEIRA,R$ 9854,R$ 757796
2024-12-18 00:00:00,QUARTA-FEIRA,R$ 112451,R$ 909361
2024-12-19 00:00:00,QUINTA-FEIRA,R$ 32060,R$ 913809
2024-12-20 00:00:00,SEXTA-FEIRA,R$ 78685,R$ 990080
2024-12-21 00:00:00,SÁBADO,R$ 30767,R$ 988351
2024-12-22 00:00:00,DOMINGO,,R$ 943426
2024-12-23 00:00:00,SEGUNDA-FEIRA,R$ 27468,R$ 939429
2024-12-24 00:00:00,TERÇA-FEIRA,,R$ 900286
2024-12-25 00:00:00,QUARTA-FEIRA,,R$ 864275
2024-12-26 00:00:00,QUINTA-FEIRA,R$ 67905,R$ 911997
2024-12-27 00:00:00,SEXTA-FEIRA,R$ 33789,R$ 917014
2024-12-28 00:00:00,SÁBADO,R$ 13730,R$ 899465
2024-12-29 00:00:00,DOMINGO,,R$ 868449
2024-12-30 00:00:00,SEGUNDA-FEIRA,R$ 141861,R$ 986091
2024-12-31 00:00:00,TERÇA-FEIRA,,R$ 954281
2025-01-02 00:00:00,QUINTA-FEIRA,R$ 10383,R$ 160938
2025-01-03 00:00:00,SEXTA-FEIRA,R$ 9353,R$ 203941
2025-01-04 00:00:00,SÁBADO,,R$ 152956
2025-01-05 00:00:00,DOMINGO,,R$ 122364
2025-01-06 00:00:00,SEGUNDA-FEIRA,R$ 13923,R$ 173904
2025-01-07 00:00:00,TERÇA-FEIRA,R$ 8726,R$ 187704
2025-01-08 00:00:00,QUARTA-FEIRA,R$ 15508,R$ 224336
2025-01-09 00:00:00,QUINTA-FEIRA,R$ 21662,R$ 274022
2025-01-10 00:00:00,SEXTA-FEIRA,R$ 6126,R$ 265611
2025-01-11 00:00:00,SÁBADO,,R$ 241464
2025-01-12 00:00:00,DOMINGO,,R$ 221342
2025-01-13 00:00:00,SEGUNDA-FEIRA,R$ 16882,R$ 244572
2025-01-14 00:00:00,TERÇA-FEIRA,R$ 11994,R$ 253661
2025-01-15 00:00:00,QUARTA-FEIRA,R$ 29768,R$ 298270
2025-01-16 00:00:00,QUINTA-FEIRA,R$ 27682,R$ 333261
2025-01-17 00:00:00,SEXTA-FEIRA,R$ 3716,R$ 320434
2025-01-18 00:00:00,SÁBADO,,R$ 302632
2025-01-19 00:00:00,DOMINGO,,R$ 286704
2025-01-20 00:00:00,SEGUNDA-FEIRA,R$ 20913,R$ 304783
2025-01-21 00:00:00,TERÇA-FEIRA,R$ 15036,R$ 312466
2025-01-22 00:00:00,QUARTA-FEIRA,R$ 21488,R$ 328541
2025-01-23 00:00:00,QUINTA-FEIRA,R$ 29651,R$ 354221
2025-01-24 00:00:00,SEXTA-FEIRA,R$ 7836,R$ 349583
2025-01-25 00:00:00,SÁBADO,,R$ 335600
2025-01-26 00:00:00,DOMINGO,,R$ 322692
2025-01-27 00:00:00,SEGUNDA-FEIRA,R$ 27283,R$ 342066
2025-01-28 00:00:00,TERÇA-FEIRA,R$ 21038,R$ 353141
2025-01-29 00:00:00,QUARTA-FEIRA,R$ 11586,R$ 353348
2025-01-30 00:00:00,QUINTA-FEIRA,R$ 25778,R$ 368208
2025-01-31 00:00:00,SEXTA-FEIRA,R$ 28910,R$ 385240
2025-02-03 00:00:00,SEGUNDA-FEIRA,R$ 21236,R$ 198198
2025-02-04 00:00:00,TERÇA-FEIRA,R$ 18861,R$ 280673
2025-02-05 00:00:00,QUARTA-FEIRA,R$ 24185,R$ 359973
2025-02-06 00:00:00,QUINTA-FEIRA,R$ 25242,R$ 417775
2025-02-07 00:00:00,SEXTA-FEIRA,R$ 19392,R$ 435662
2025-02-08 00:00:00,SÁBADO,,R$ 381205
2025-02-09 00:00:00,DOMINGO,,R$ 338849
2025-02-10 00:00:00,SEGUNDA-FEIRA,R$ 19309,R$ 359029
2025-02-11 00:00:00,TERÇA-FEIRA,R$ 42636,R$ 434917
2025-02-12 00:00:00,QUARTA-FEIRA,R$ 27984,R$ 463969
2025-02-13 00:00:00,QUINTA-FEIRA,R$ 12370,R$ 454922
2025-02-14 00:00:00,SEXTA-FEIRA,R$ 9313,R$ 441052
2025-02-15 00:00:00,SÁBADO,,R$ 411649
2025-02-16 00:00:00,DOMINGO,,R$ 385921
2025-02-17 00:00:00,SEGUNDA-FEIRA,R$ 19437,R$ 395234
2025-02-18 00:00:00,TERÇA-FEIRA,R$ 10702,R$ 389924
2025-02-19 00:00:00,QUARTA-FEIRA,R$ 25131,R$ 406437
2025-02-20 00:00:00,QUINTA-FEIRA,R$ 7331,R$ 396379
2025-02-21 00:00:00,SEXTA-FEIRA,R$ 7443,R$ 387427
2025-02-22 00:00:00,SÁBADO,,R$ 369817
