Data,NomeDia,TCC Faturamento Realizado,TCC Faturamento Projetado Power BI
2025-02-23 00:00:00,DOMINGO,,R$ 353738
2025-02-24 00:00:00,SEGUNDA-FEIRA,R$ 35484,R$ 380397
2025-02-25 00:00:00,TERÇA-FEIRA,R$ 34042,R$ 403307
2025-02-26 00:00:00,QUARTA-FEIRA,R$ 63193,R$ 455849
2025-02-27 00:00:00,QUINTA-FEIRA,R$ 7564,R$ 446811
2025-02-28 00:00:00,SEXTA-FEIRA,R$ 8205,R$ 439058
2025-03-05 00:00:00,QUARTA-FEIRA,R$ 40705,R$ 252374
2025-03-06 00:00:00,QUINTA-FEIRA,R$ 26323,R$ 346314
2025-03-07 00:00:00,SEXTA-FEIRA,R$ 3223,R$ 311113
2025-03-08 00:00:00,SÁBADO,,R$ 272224
2025-03-09 00:00:00,DOMINGO,,R$ 241977
2025-03-10 00:00:00,SEGUNDA-FEIRA,R$ 27688,R$ 303611
2025-03-11 00:00:00,TERÇA-FEIRA,R$ 18412,R$ 327899
2025-03-12 00:00:00,QUARTA-FEIRA,R$ 31749,R$ 382592
2025-03-13 00:00:00,QUINTA-FEIRA,R$ 18886,R$ 398196
2025-03-14 00:00:00,SEXTA-FEIRA,R$ 27919,R$ 431573
2025-03-15 00:00:00,SÁBADO,,R$ 402802
2025-03-16 00:00:00,DOMINGO,,R$ 377627
2025-03-17 00:00:00,SEGUNDA-FEIRA,R$ 19888,R$ 391680
2025-03-18 00:00:00,TERÇA-FEIRA,R$ 17131,R$ 399423
2025-03-19 00:00:00,QUARTA-FEIRA,R$ 26840,R$ 422193
2025-03-20 00:00:00,QUINTA-FEIRA,R$ 9877,R$ 416393
2025-03-21 00:00:00,SEXTA-FEIRA,R$ 2519,R$ 400283
2025-03-22 00:00:00,SÁBADO,,R$ 382089
2025-03-23 00:00:00,DOMINGO,R$ 5800,R$ 373293
2025-03-24 00:00:00,SEGUNDA-FEIRA,R$ 31299,R$ 398168
2025-03-25 00:00:00,TERÇA-FEIRA,R$ 36640,R$ 427674
2025-03-26 00:00:00,QUARTA-FEIRA,R$ 19055,R$ 433945
2025-03-27 00:00:00,QUINTA-FEIRA,R$ 9465,R$ 428739
2025-03-28 00:00:00,SEXTA-FEIRA,R$ 18608,R$ 434029
2025-03-29 00:00:00,SÁBADO,,R$ 419062
2025-03-30 00:00:00,DOMINGO,,R$ 405093
2025-03-31 00:00:00,SEGUNDA-FEIRA,R$ 38086,R$ 430112
2025-04-01 00:00:00,TERÇA-FEIRA,R$ 8386,R$ 251591
2025-04-02 00:00:00,QUARTA-FEIRA,R$ 6089,R$ 217137
2025-04-03 00:00:00,QUINTA-FEIRA,R$ 13864,R$ 283394
2025-04-04 00:00:00,SEXTA-FEIRA,R$ 5781,R$ 255901
2025-04-05 00:00:00,SÁBADO,,R$ 204720
2025-04-06 00:00:00,DOMINGO,,R$ 170600
2025-04-07 00:00:00,SEGUNDA-FEIRA,R$ 8140,R$ 181113
2025-04-08 00:00:00,TERÇA-FEIRA,R$ 17894,R$ 225576
2025-04-09 00:00:00,QUARTA-FEIRA,R$ 18559,R$ 262374
2025-04-10 00:00:00,QUINTA-FEIRA,R$ 17936,R$ 289946
2025-04-11 00:00:00,SEXTA-FEIRA,R$ 9837,R$ 290415
2025-04-12 00:00:00,SÁBADO,,R$ 266213
2025-04-13 00:00:00,DOMINGO,,R$ 245735
2025-04-14 00:00:00,SEGUNDA-FEIRA,R$ 36737,R$ 306905
2025-04-15 00:00:00,TERÇA-FEIRA,R$ 17955,R$ 322354
2025-04-16 00:00:00,QUARTA-FEIRA,R$ 19596,R$ 338949
2025-04-17 00:00:00,QUINTA-FEIRA,R$ 10598,R$ 337714
2025-04-18 00:00:00,SEXTA-FEIRA,,R$ 318952
2025-04-19 00:00:00,SÁBADO,,R$ 302165
2025-04-20 00:00:00,DOMINGO,,R$ 287057
2025-04-21 00:00:00,SEGUNDA-FEIRA,,R$ 273387
2025-04-22 00:00:00,TERÇA-FEIRA,R$ 14967,R$ 281371
2025-04-23 00:00:00,QUARTA-FEIRA,R$ 26984,R$ 304334
2025-04-24 00:00:00,QUINTA-FEIRA,R$ 9911,R$ 304042
2025-04-25 00:00:00,SEXTA-FEIRA,R$ 8319,R$ 301863
2025-04-26 00:00:00,SÁBADO,,R$ 290253
2025-04-27 00:00:00,DOMINGO,,R$ 279503
2025-04-28 00:00:00,SEGUNDA-FEIRA,R$ 45757,R$ 318546
2025-04-29 00:00:00,TERÇA-FEIRA,R$ 23586,R$ 331961
2025-04-30 00:00:00,QUARTA-FEIRA,R$ 14196,R$ 335091
2025-05-02 00:00:00,SEXTA-FEIRA,R$ 2911,R$ 45113
2025-05-03 00:00:00,SÁBADO,,R$ 30075
2025-05-04 00:00:00,DOMINGO,,R$ 22556
2025-05-05 00:00:00,SEGUNDA-FEIRA,R$ 11206,R$ 87521
2025-05-06 00:00:00,TERÇA-FEIRA,R$ 31352,R$ 234920
2025-05-07 00:00:00,QUARTA-FEIRA,R$ 19555,R$ 287962
2025-05-08 00:00:00,QUINTA-FEIRA,R$ 10673,R$ 293323
2025-05-09 00:00:00,SEXTA-FEIRA,R$ 11654,R$ 300872
2025-05-10 00:00:00,SÁBADO,,R$ 270785
2025-05-11 00:00:00,DOMINGO,,R$ 246168
2025-05-12 00:00:00,SEGUNDA-FEIRA,R$ 15687,R$ 266178
2025-05-13 00:00:00,TERÇA-FEIRA,R$ 11982,R$ 274275
2025-05-14 00:00:00,QUARTA-FEIRA,R$ 9572,R$ 275880
2025-05-15 00:00:00,QUINTA-FEIRA,R$ 14723,R$ 287916
2025-05-16 00:00:00,SEXTA-FEIRA,R$ 4343,R$ 278336
2025-05-17 00:00:00,SÁBADO,,R$ 261964
2025-05-18 00:00:00,DOMINGO,,R$ 247410
2025-05-19 00:00:00,SEGUNDA-FEIRA,R$ 18307,R$ 264258
2025-05-20 00:00:00,TERÇA-FEIRA,R$ 7487,R$ 262650
2025-05-21 00:00:00,QUARTA-FEIRA,R$ 15207,R$ 272591
2025-05-22 00:00:00,QUINTA-FEIRA,R$ 13231,R$ 278844
2025-05-23 00:00:00,SEXTA-FEIRA,R$ 10041,R$ 280253
2025-05-24 00:00:00,SÁBADO,,R$ 268576
2025-05-25 00:00:00,DOMINGO,,R$ 257833
2025-05-26 00:00:00,SEGUNDA-FEIRA,R$ 12506,R$ 262828
2025-05-27 00:00:00,TERÇA-FEIRA,R$ 9455,R$ 263949
2025-05-28 00:00:00,QUARTA-FEIRA,R$ 5532,R$ 260647
2025-05-29 00:00:00,QUINTA-FEIRA,R$ 20478,R$ 273549
2025-05-30 00:00:00,SEXTA-FEIRA,R$ 39276,R$ 305016
2025-05-31 00:00:00,SÁBADO,,R$ 295177
2025-06-02 00:00:00,SEGUNDA-FEIRA,R$ 3578,R$ 53663
2025-06-03 00:00:00,TERÇA-FEIRA,R$ 6783,R$ 103607
2025-06-04 00:00:00,QUARTA-FEIRA,R$ 22514,R$ 246562
2025-06-05 00:00:00,QUINTA-FEIRA,R$ 5447,R$ 229934
2025-06-06 00:00:00,SEXTA-FEIRA,R$ 4075,R$ 211988
2025-06-07 00:00:00,SÁBADO,,R$ 181704
2025-06-08 00:00:00,DOMINGO,,R$ 158991
2025-06-09 00:00:00,SEGUNDA-FEIRA,R$ 10087,R$ 174949
2025-06-10 00:00:00,TERÇA-FEIRA,R$ 6047,R$ 175596
2025-06-11 00:00:00,QUARTA-FEIRA,R$ 6502,R$ 177366
2025-06-12 00:00:00,QUINTA-FEIRA,R$ 17636,R$ 206675
2025-06-13 00:00:00,SEXTA-FEIRA,R$ 11475,R$ 217258
2025-06-14 00:00:00,SÁBADO,,R$ 201740
2025-06-15 00:00:00,DOMINGO,,R$ 188291
2025-06-16 00:00:00,SEGUNDA-FEIRA,R$ 15250,R$ 205117
2025-06-17 00:00:00,TERÇA-FEIRA,R$ 15935,R$ 221172
2025-06-18 00:00:00,QUARTA-FEIRA,R$ 5569,R$ 218167
2025-06-19 00:00:00,QUINTA-FEIRA,,R$ 206685
2025-06-20 00:00:00,SEXTA-FEIRA,R$ 492,R$ 197088
2025-06-21 00:00:00,SÁBADO,,R$ 187703
2025-06-22 00:00:00,DOMINGO,,R$ 179171
2025-06-23 00:00:00,SEGUNDA-FEIRA,R$ 9102,R$ 183253
2025-06-24 00:00:00,TERÇA-FEIRA,R$ 14983,R$ 194347
2025-06-25 00:00:00,QUARTA-FEIRA,R$ 20358,R$ 211003
2025-06-26 00:00:00,QUINTA-FEIRA,R$ 12762,R$ 217612
2025-06-27 00:00:00,SEXTA-FEIRA,R$ 7931,R$ 218365
2025-06-28 00:00:00,SÁBADO,,R$ 210566
2025-06-29 00:00:00,DOMINGO,,R$ 203305
2025-06-30 00:00:00,SEGUNDA-FEIRA,R$ 16179,R$ 212707
2025-07-01 00:00:00,TERÇA-FEIRA,R$ 5112,R$ 158486
2025-07-02 00:00:00,QUARTA-FEIRA,R$ 2212,R$ 113535
2025-07-03 00:00:00,QUINTA-FEIRA,R$ 10492,R$ 184109
2025-07-04 00:00:00,SEXTA-FEIRA,R$ 5003,R$ 176853
2025-07-05 00:00:00,SÁBADO,,R$ 141482
2025-07-06 00:00:00,DOMINGO,,R$ 117902
2025-07-07 00:00:00,SEGUNDA-FEIRA,R$ 8950,R$ 140694
2025-07-08 00:00:00,TERÇA-FEIRA,R$ 9761,R$ 160932
2025-07-09 00:00:00,QUARTA-FEIRA,R$ 30513,R$ 248151
2025-07-10 00:00:00,QUINTA-FEIRA,R$ 9596,R$ 253084
2025-07-11 00:00:00,SEXTA-FEIRA,R$ 240,R$ 230753
2025-07-12 00:00:00,SÁBADO,,R$ 211523
2025-07-13 00:00:00,DOMINGO,,R$ 195252
2025-07-14 00:00:00,SEGUNDA-FEIRA,R$ 11803,R$ 207441
2025-07-15 00:00:00,TERÇA-FEIRA,R$ 5291,R$ 204546
2025-07-16 00:00:00,QUARTA-FEIRA,R$ 33641,R$ 256941
2025-07-17 00:00:00,QUINTA-FEIRA,R$ 15879,R$ 270783
2025-07-18 00:00:00,SEXTA-FEIRA,R$ 12947,R$ 278037
2025-07-19 00:00:00,SÁBADO,,R$ 263403
2025-07-20 00:00:00,DOMINGO,,R$ 250233
2025-07-21 00:00:00,SEGUNDA-FEIRA,R$ 13605,R$ 258400
2025-07-22 00:00:00,TERÇA-FEIRA,R$ 16964,R$ 270558
2025-07-23 00:00:00,QUARTA-FEIRA,R$ 4735,R$ 265177
2025-07-24 00:00:00,QUINTA-FEIRA,R$ 8642,R$ 265291
2025-07-25 00:00:00,SEXTA-FEIRA,R$ 737,R$ 255593
2025-07-26 00:00:00,SÁBADO,,R$ 245762
2025-07-27 00:00:00,DOMINGO,,R$ 236660
2025-07-28 00:00:00,SEGUNDA-FEIRA,R$ 39214,R$ 271623
2025-07-29 00:00:00,TERÇA-FEIRA,R$ 8054,R$ 270866
2025-07-30 00:00:00,QUARTA-FEIRA,R$ 16985,R$ 279388
2025-07-31 00:00:00,QUINTA-FEIRA,R$ 35595,R$ 305971
2025-08-01 00:00:00,SEXTA-FEIRA,R$ 2127,R$ 65928
2025-08-02 00:00:00,SÁBADO,,R$ 32964
2025-08-03 00:00:00,DOMINGO,,R$ 21976
2025-08-04 00:00:00,SEGUNDA-FEIRA,R$ 23983,R$ 202351
2025-08-05 00:00:00,TERÇA-FEIRA,R$ 12050,R$ 236594
2025-08-06 00:00:00,QUARTA-FEIRA,R$ 53018,R$ 471090
2025-08-07 00:00:00,QUINTA-FEIRA,R$ 7979,R$ 439127
2025-08-08 00:00:00,SEXTA-FEIRA,R$ 8918,R$ 418795
2025-08-09 00:00:00,SÁBADO,,R$ 372262
2025-08-10 00:00:00,DOMINGO,,R$ 335036
2025-08-11 00:00:00,SEGUNDA-FEIRA,R$ 30794,R$ 391360
2025-08-12 00:00:00,TERÇA-FEIRA,R$ 6066,R$ 374416
2025-08-13 00:00:00,QUARTA-FEIRA,R$ 26388,R$ 408540
2025-08-14 00:00:00,QUINTA-FEIRA,R$ 15486,R$ 413648
2025-08-15 00:00:00,SEXTA-FEIRA,R$ 15260,R$ 417608
2025-08-16 00:00:00,SÁBADO,,R$ 391508
2025-08-17 00:00:00,DOMINGO,,R$ 368478
2025-08-18 00:00:00,SEGUNDA-FEIRA,R$ 32974,R$ 404796
2025-08-19 00:00:00,TERÇA-FEIRA,R$ 8809,R$ 397863
2025-08-20 00:00:00,QUARTA-FEIRA,R$ 22001,R$ 412073
2025-08-21 00:00:00,QUINTA-FEIRA,R$ 8510,R$ 405013
2025-08-22 00:00:00,SEXTA-FEIRA,R$ 32706,R$ 432688
2025-08-23 00:00:00,SÁBADO,,R$ 413876
2025-08-24 00:00:00,DOMINGO,,R$ 396631
2025-08-25 00:00:00,SEGUNDA-FEIRA,R$ 13273,R$ 397224
2025-08-26 00:00:00,TERÇA-FEIRA,R$ 5717,R$ 388763
2025-08-27 00:00:00,QUARTA-FEIRA,R$ 36058,R$ 415764
2025-08-28 00:00:00,QUINTA-FEIRA,R$ 7162,R$ 408844
2025-08-29 00:00:00,SEXTA-FEIRA,R$ 50618,R$ 448855
2025-08-30 00:00:00,SÁBADO,,R$ 433893
2025-08-31 00:00:00,DOMINGO,,R$ 419897
2025-09-01 00:00:00,SEGUNDA-FEIRA,R$ 18002,R$ 540057
2025-09-02 00:00:00,TERÇA-FEIRA,R$ 32766,R$ 761513
2025-09-03 00:00:00,QUARTA-FEIRA,R$ 26035,R$ 768025
2025-09-04 00:00:00,QUINTA-FEIRA,R$ 37544,R$ 857596
2025-09-05 00:00:00,SEXTA-FEIRA,R$ 6017,R$ 722178
2025-09-06 00:00:00,SÁBADO,,R$ 601815
2025-09-07 00:00:00,DOMINGO,,R$ 515842
2025-09-08 00:00:00,SEGUNDA-FEIRA,R$ 19236,R$ 523495
2025-09-09 00:00:00,TERÇA-FEIRA,R$ 35513,R$ 583705
2025-09-10 00:00:00,QUARTA-FEIRA,R$ 18167,R$ 579837
2025-09-11 00:00:00,QUINTA-FEIRA,R$ 37138,R$ 628411
2025-09-12 00:00:00,SEXTA-FEIRA,R$ 9707,R$ 600309
2025-09-13 00:00:00,SÁBADO,,R$ 554132
2025-09-14 00:00:00,DOMINGO,,R$ 514551
2025-09-15 00:00:00,SEGUNDA-FEIRA,R$ 27283,R$ 534814
2025-09-16 00:00:00,TERÇA-FEIRA,R$ 23589,R$ 545619
2025-09-17 00:00:00,QUARTA-FEIRA,R$ 34927,R$ 575159
2025-09-18 00:00:00,QUINTA-FEIRA,R$ 38464,R$ 607312
2025-09-19 00:00:00,SEXTA-FEIRA,R$ 43885,R$ 644641
2025-09-20 00:00:00,SÁBADO,,R$ 612409
2025-09-21 00:00:00,DOMINGO,,R$ 583247
2025-09-22 00:00:00,SEGUNDA-FEIRA,R$ 36699,R$ 606780
2025-09-23 00:00:00,TERÇA-FEIRA,R$ 21739,R$ 608753
2025-09-24 00:00:00,QUARTA-FEIRA,R$ 28978,R$ 619611
2025-09-25 00:00:00,QUINTA-FEIRA,R$ 16801,R$ 614988
2025-09-26 00:00:00,SEXTA-FEIRA,R$ 5236,R$ 597375
2025-09-27 00:00:00,SÁBADO,,R$ 575250
2025-09-28 00:00:00,DOMINGO,,R$ 554706
2025-09-29 00:00:00,SEGUNDA-FEIRA,R$ 48814,R$ 586075
2025-09-30 00:00:00,TERÇA-FEIRA,R$ 36304,R$ 602843
2025-10-01 00:00:00,QUARTA-FEIRA,R$ 11053,R$ 342657
2025-10-02 00:00:00,QUINTA-FEIRA,R$ 13613,R$ 382327
2025-10-03 00:00:00,SEXTA-FEIRA,,R$ 254885
2025-10-04 00:00:00,SÁBADO,,R$ 191164
2025-10-05 00:00:00,DOMINGO,,R$ 152931
2025-10-06 00:00:00,SEGUNDA-FEIRA,,R$ 127442
2025-10-07 00:00:00,TERÇA-FEIRA,,R$ 109236
2025-10-08 00:00:00,QUARTA-FEIRA,,R$ 95582
2025-10-09 00:00:00,QUINTA-FEIRA,,R$ 84962
2025-10-10 00:00:00,SEXTA-FEIRA,,R$ 76465
2025-10-11 00:00:00,SÁBADO,,R$ 69514
2025-10-12 00:00:00,DOMINGO,,R$ 63721
2025-10-13 00:00:00,SEGUNDA-FEIRA,,R$ 58820
2025-10-14 00:00:00,TERÇA-FEIRA,,R$ 54618
2025-10-15 00:00:00,QUARTA-FEIRA,,R$ 50977
2025-10-16 00:00:00,QUINTA-FEIRA,,R$ 47791
2025-10-17 00:00:00,SEXTA-FEIRA,,R$ 44980
2025-10-18 00:00:00,SÁBADO,,R$ 42481
2025-10-19 00:00:00,DOMINGO,,R$ 40245
2025-10-20 00:00:00,SEGUNDA-FEIRA,,R$ 38233
2025-10-21 00:00:00,TERÇA-FEIRA,,R$ 36412
2025-10-22 00:00:00,QUARTA-FEIRA,,R$ 34757
2025-10-23 00:00:00,QUINTA-FEIRA,,R$ 33246
2025-10-24 00:00:00,SEXTA-FEIRA,,R$ 31861
2025-10-25 00:00:00,SÁBADO,,R$ 30586
2025-10-26 00:00:00,DOMINGO,,R$ 29410
2025-10-27 00:00:00,SEGUNDA-FEIRA,,R$ 28321
2025-10-28 00:00:00,TERÇA-FEIRA,,R$ 27309
2025-10-29 00:00:00,QUARTA-FEIRA,,R$ 26367
2025-10-30 00:00:00,QUINTA-FEIRA,,R$ 25488
2025-10-31 00:00:00,SEXTA-FEIRA,,R$ 24666
